Model,Overall_Mean,Overall_Std,N_Evaluations,Copy_Only,Image_Only,Both_Tasks,Purchase_Intent,Visual_Appeal,Value_Convincing,Message_Clarity,Trustworthiness
Claude,3.6333333333333337,0.9984540896334144,42,3.5241379310344825,3.5241379310344825,3.876923076923077,3.619047619047619,3.5,3.5476190476190474,3.761904761904762,3.738095238095238
ChatGPT,3.571428571428573,0.8917742562116334,42,3.475862068965517,3.475862068965517,3.784615384615385,3.5238095238095237,3.3095238095238093,3.5,3.9047619047619047,3.619047619047619
Deepseek,3.4952380952380957,0.9840068364209227,42,3.4137931034482754,3.4137931034482754,3.676923076923077,3.380952380952381,3.380952380952381,3.3095238095238093,3.9285714285714284,3.4761904761904763
Gemini,3.4857142857142853,1.0712589877407477,42,3.4,3.4,3.6769230769230767,3.4047619047619047,3.380952380952381,3.357142857142857,3.9523809523809526,3.3333333333333335
Human,3.3875,1.192126950734135,16,,,3.3875,3.375,3.0,3.4375,3.9375,3.1875
