Question,Mean,Std,N,F_stat,p_value,eta_squared,Significant
Purchase Intent,3.472826086956522,1.1824401241435465,184,0.562423731102085,0.8698502683056175,0.03796973009360694,No
Visual Appeal,3.358695652173913,1.2153977669894134,184,0.5689632088466667,0.8648869070575498,0.038394265565556265,No
Value Convincing,3.4293478260869565,1.1572567944030265,184,0.4972822776966707,0.9142815303591165,0.0337202657637296,No
Message Clarity,3.891304347826087,0.991290175920839,184,0.3773092494066916,0.9700693899779673,0.025794850096711803,No
Trustworthiness,3.510869565217391,1.1873151529864718,184,1.0279788850404865,0.4254194940856609,0.06728500495880607,No
