Question,Mean,Std,N,F_stat,p_value,eta_squared,Significant,Best_Model,Best_Score
Purchase Intent,3.472826086956522,1.1824401241435465,184,0.30097504821527127,0.8770189414118937,0.00668076657371247,No,Claude,3.619047619047619
Visual Appeal,3.358695652173913,1.2153977669894134,184,0.5090308600376456,0.7291560230597874,0.011247056120397489,No,Claude,3.5
Value Convincing,3.4293478260869565,1.1572567944030265,184,0.2978070592712397,0.8791031098154227,0.0066109113564485605,No,Claude,3.5476190476190474
Message Clarity,3.891304347826087,0.991290175920839,184,0.24018358838351508,0.9152790127609405,0.005338577645758502,No,Gemini,3.9523809523809526
Trustworthiness,3.510869565217391,1.1873151529864718,184,1.0124332602053088,0.40238164394864484,0.022123676301227427,No,Claude,3.738095238095238
